"entity_id","en","cs_cz","ru_il","fr_ca","sv_se","fr_be","fr_ch","he_il","es_us","ko_kr","en_ca","pl_pl","de_at","en_gb","sv_fi","it_it","de_de","en_au","fi_fi","pt_pt","ar_il","tr_tr","es_es","nl_be","fr_fr","hu_hu","nl_nl"
"display_name","Taste and Texture Questionnaire","Dotazník ohledně chuti a textury ","Опросник о вкусе и текстуре","Questionnaire sur le goût et la texture ","Frågeformulär om smak och textur ","Questionnaire sur le goût et la texture ","Questionnaire sur le goût et les textures ","שאלון טעם ומרקם ","Cuestionario sobre el sabor y la textura ","맛과 질감 설문지","Taste and Texture Questionnaire","Kwestionariusz dotyczący smaku i konsystencji ","Fragebogen zu Geschmack und Konsistenz","Taste and Texture Questionnaire","Frågeformulär om smak och textur ","Questionario su sapore e consistenza ","Fragebogen zu Geschmack und Konsistenz","Taste and Texture Questionnaire","Makua ja koostumusta koskeva kysely","Questionário de paladar e textura","استبيان المذاق والقوام ","Tat ve Doku Anketi ","Cuestionario sobre sabor y textura","Vragenlijst over smaak en textuur ","Questionnaire sur le goût et les textures ","Íz és állag kérdőív ","Vragenlijst over smaak en textuur "
"nc8bc21-q","Taste and Texture Questionnaire","Dotazník ohledně chuti a textury ","Опросник о вкусе и текстуре","Questionnaire sur le goût et la texture ","Frågeformulär om smak och textur ","Questionnaire sur le goût et la texture ","Questionnaire sur le goût et les textures ","שאלון טעם ומרקם ","Cuestionario sobre el sabor y la textura ","맛과 질감 설문지","Taste and Texture Questionnaire","Kwestionariusz dotyczący smaku i konsystencji ","Fragebogen zu Geschmack und Konsistenz","Taste and Texture Questionnaire","Frågeformulär om smak och textur ","Questionario su sapore e consistenza ","Fragebogen zu Geschmack und Konsistenz","Taste and Texture Questionnaire","Makua ja koostumusta koskeva kysely","Questionário de paladar e textura","استبيان المذاق والقوام ","Tat ve Doku Anketi ","Cuestionario sobre sabor y textura","Vragenlijst over smaak en textuur ","Questionnaire sur le goût et les textures ","Íz és állag kérdőív ","Vragenlijst over smaak en textuur "
"nb8cabf-q","Who is completing the Taste & Texture Questionnaire today?","Kdo dnes vyplňuje dotazník ohledně chuti a textury?","Кто сегодня заполняет опросник о вкусе и текстуре?","Qui remplit le questionnaire sur le goût et la texture aujourd’hui?","Vem fyller i frågeformuläret om smak och textur idag?","Qui remplit le questionnaire sur le goût et la texture aujourd’hui?","Qui remplit le questionnaire sur le goût et les textures aujourd’hui?","מי ממלא היום את שאלון הטעם והמרקם?","¿Quién completa el cuestionario sobre el sabor y la textura en el día de hoy?","오늘은어떤분이맛과질감(Taste & Texture) 설문지를작성하시나요?","Who is completing the Taste & Texture Questionnaire today?","Kto wypełnia dziś kwestionariusz dotyczący smaku i konsystencji?","Wer füllt den Fragebogen zu Geschmack und Konsistenz heute aus?","Who is completing the Taste & Texture Questionnaire today?","Vem fyller i frågeformuläret om smak och textur idag?","Chi compila il questionario del gusto e della consistenza oggi?","Wer füllt den Fragebogen zu Geschmack und Konsistenz heute aus?","Who is completing the Taste & Texture Questionnaire today?","Kuka täyttää tämän makua ja koostumusta koskevan kyselyn tänään?","Quem está a preencher o Questionário de paladar e textura?","من الذي يقوم بإكمال استبيان المذاق والقوام اليوم؟","Şu anda Tat ve Doku Anketini kim dolduruyor?","¿Quién rellena el cuestionario sobre sabor y textura hoy?","Wie vult vandaag de vragenlijst over smaak en textuur in?","Qui remplit le questionnaire sur le goût et les textures aujourd’hui?","Ki tölti ki ma az Íz és állag kérdőívet?","Wie vult vandaag de vragenlijst over smaak en textuur in?"
"nb8cabf-nb8cabf_s967ace-c","<p>Child / Participant</p>","Dítě / Účastník","Ребенок / участник","Enfant / Participant","Barn/deltagare","Enfant / Participant","Enfant/Participant","ילד/משתתף","Niño / Participante","자녀/ 시험대상자","Child / Participant","Dziecko / Uczestnik","Kind / Teilnehmer","Child / Participant","Barn/deltagare","Bambino/a/Partecipante","Kind / Teilnehmer","Child / Participant","Lapsi/osallistuja","Criança / Participante","الطفل / المشارك","Çocuk/Gönüllü","Hijo/hija/participante","Kind/deelnemer","Enfant / Participant","Gyermek / Résztvevő","Kind/deelnemer"
"nb8cabf-nb8cabf_df47e20-c","<p>Caregiver / Parent</p>","Pečovatel / Rodič","Лицо, осуществляющее уход / родитель","Aidant / Parent","Vårdnadshavare/förälder","Soignant / Parent","Soignant/Parent","מטפל/הורה","Cuidador / Padre o madre","돌봄제공자/ 부모","Caregiver / Parent","Opiekun / Rodzic","Betreuungsperson / Elternteil","Caregiver / Parent","Vårdnadshavare/förälder","Caregiver/Genitore","Betreuungsperson / Elternteil","Caregiver / Parent","Huoltaja/vanhempi","Cuidador / Progenitor","مقدم الرعاية / الوالد","Bakıcı/Ebeveyn","Cuidador/padre/madre","Verzorger/ouder","Soignant / Parent","Gondozó / Szülő","Verzorger/ouder"
"wc48da6-q","What do you think about the suspension? The suspension is …","Co si myslíš o suspenzi? Suspenze je ...","Какие у тебя впечатления от суспензии? Моя оценка суспензии...","Que penses-tu de la suspension ? La suspension est …","Vad tycker du om suspensionen? Är den...","Que pensez-vous de la suspension? La suspension est ...","Que penses-tu de la suspension ? La suspension est …","מה אתה חושב על התרחיף? התרחיף …","¿Qué piensas acerca de la suspensión? La suspensión es ...","현탁액에 대한 아동의 자발적 표정을 포착해 주십시오. 그 표현이 나타내는 전체적인 인식은...","What do you think about the suspension? The suspension is ...","Co ogólnie sądzisz o zawiesinie? Zawiesina jest…","Was hältst du von der Suspension? Die Suspension ist...","What do you think about the suspension? The suspension is ...","Vad tycker du om suspensionen? Suspensionen är ...","Cosa pensi della sospensione? La sospensione è...","Was hältst du von der Suspension? Die Suspension ist…","What do you think about the suspension? The suspension is ...","Mitä mieltä olet suspensiosta (nestemäisestä lääkeseoksesta)? Suspensio on...","O que achaste da suspensão? A suspensão é..."," ما رأيك في المعلق؟ المعلق …","Süspansiyon hakkında ne düşünüyorsun? Süspansiyon ...","¿Qué piensas sobre la suspensión? La suspensión es...","Wat vind je van de suspensie? Ik vind de suspensie ...","Que penses-tu du médicament (suspension orale de finerenone) ? Le médicament est …","Mit gondolsz a szuszpenzióról? A szuszpenzió...","Wat vind je van het drankje (suspensie)? Het drankje is …"
"wc48da6-wc48da6_neb4845-c","<p>Very bad&nbsp;</p><img src=""28.png""/>","Velmišpatná <img src=""144.png""/>","Очень плохо  <img src=""144.png""/>","Très mauvaise   <img src=""144.png""/>","Mycket dålig <img src=""144.png""/>","Très mauvaise   <img src=""144.png""/>","Très mauvais   <img src=""144.png""/>","רע מאוד  <img src=""144.png""/>","Muy desagradable <img src=""144.png""/>","매우 나쁨 <img src=""144.png""/>","Very bad <img src=""144.png""/>","Bardzo zła <img src=""144.png""/>","sehr schlecht  <img src=""144.png""/>","Very bad <img src=""144.png""/>","mycket dålig <img src=""144.png""/>","Molto sgradevole <img src=""144.png""/>","sehr schlecht  <img src=""144.png""/>","Very bad <img src=""144.png""/>","todella huono <img src=""144.png""/>","Muito má <img src=""144.png""/>","سيئ جدًا  <img src=""144.png""/>","Çok kötü  <img src=""144.png""/>","Muy mala <img src=""144.png""/>","Heel slecht  <img src=""144.png""/>","Très mauvais   <img src=""144.png""/>","Nagyon rossz  <img src=""144.png""/>","Zeer slecht  <img src=""144.png""/>"
"wc48da6-wc48da6_f116d9d-c","<p>Bad&nbsp;</p><img src=""29.png""/>","Špatná <img src=""145.png""/>","Плохо <img src=""145.png""/>","Mauvaise <img src=""145.png""/>","Dålig <img src=""145.png""/>","Mauvaise <img src=""145.png""/>","Mauvais <img src=""145.png""/>","רע <img src=""145.png""/>","Desagradable <img src=""145.png""/>","나쁨 <img src=""145.png""/>","Bad <img src=""145.png""/>","Zła <img src=""145.png""/>","schlecht <img src=""145.png""/>","Bad <img src=""145.png""/>","dålig <img src=""145.png""/>","Sgradevole <img src=""145.png""/>","schlecht <img src=""145.png""/>","Bad <img src=""145.png""/>","huono <img src=""145.png""/>","Má <img src=""145.png""/>","سيئ  <img src=""145.png""/>","Kötü <img src=""145.png""/>","Mala <img src=""145.png""/>","Slecht <img src=""145.png""/>","Mauvais <img src=""145.png""/>","Rossz <img src=""145.png""/>","Slecht <img src=""145.png""/>"
"wc48da6-wc48da6_j27ab18-c","<p>Neutral&nbsp;</p><img src=""30.png""/>","Neutrální <img src=""146.png""/>","Нейтрально <img src=""146.png""/>","Neutre <img src=""146.png""/>","Neutral <img src=""146.png""/>","Neutre <img src=""146.png""/>","Neutre <img src=""146.png""/>","לא רע - לא טוב (ניטרלי)  <img src=""146.png""/>","Neutra <img src=""146.png""/>","보통 <img src=""146.png""/>","Neutral <img src=""146.png""/>","Neutralna <img src=""146.png""/>","neutral <img src=""146.png""/>","Neutral <img src=""146.png""/>","varken bra eller dålig <img src=""146.png""/>","Neutra <img src=""146.png""/>","neutral <img src=""146.png""/>","Neutral <img src=""146.png""/>","ei hyvä eikä huono <img src=""146.png""/>","Neutra <img src=""146.png""/>","عادي  <img src=""146.png""/>","Nötr <img src=""146.png""/>","Neutra <img src=""146.png""/>","Neutraal <img src=""146.png""/>","Neutre <img src=""146.png""/>","Semleges <img src=""146.png""/>","Neutraal <img src=""146.png""/>"
"wc48da6-wc48da6_jab3a91-c","<p>Good&nbsp;</p><img src=""31.png""/>","Dobrá <img src=""147.png""/>","Хорошо <img src=""147.png""/>","Bonne <img src=""147.png""/>","Bra <img src=""147.png""/>","Bonne <img src=""147.png""/>","Bonne <img src=""147.png""/>","טוב  <img src=""147.png""/>","Agradable <img src=""147.png""/>","좋음 <img src=""147.png""/>","Good <img src=""147.png""/>","Dobra <img src=""147.png""/>","gut <img src=""147.png""/>","Good <img src=""147.png""/>","bra <img src=""147.png""/>","Gradevole <img src=""147.png""/>","gut <img src=""147.png""/>","Good <img src=""147.png""/>","hyvä <img src=""147.png""/>","Boa <img src=""147.png""/>","جيد  <img src=""147.png""/>","İyi <img src=""147.png""/>","Buena <img src=""147.png""/>","Goed <img src=""147.png""/>","Bon <img src=""147.png""/>","Jó <img src=""147.png""/>","Goed <img src=""147.png""/>"
