"entity_id","en","cs_cz","da_dk","ru_il","fr_ca","sv_se","fr_be","fr_ch","he_il","es_us","ko_kr","lt_lt","en_ca","pl_pl","de_at","en_gb","sv_fi","it_it","de_de","en_au","fi_fi","el_gr","pt_pt","ar_il","tr_tr","es_es","nl_be","fr_fr","hu_hu","nl_nl"
"display_name","Caregiver Satisfaction Survey – Part 2","Průzkum spokojenosti pečovatelů/rodičů–2. část","Tilfredshedsundersøgelse for omsorgsperson/forældre/værge –del2","Опрос для лица, осуществляющего уход, о степени удовлетворенности –часть 2","Sondage sur la satisfaction des aidants –Partie2","Undersökning om vårdnadshavares nöjdhet –del 2","Enquête de satisfaction du soignant –Partie 2","Enquête de satisfaction du soignant -Partie2","סקר שביעות רצון למטפלים – חלק 2","Encuesta de satisfacción del cuidador: parte2","돌봄제공자 만족도 설문조사 – 2부","Grįžtamojo ryšio globėjo apklausa –2 dalis","Caregiver Satisfaction Survey –Part 2","Ankieta satysfakcji opiekuna –Część 2","Zufriedenheitsumfrage für Betreuungspersonen–Teil2","Caregiver Satisfaction Survey –Part2","Undersökning om vårdnadshavares nöjdhet –del 2","Sondaggio sulla soddisfazione del caregiver -Parte 2","Zufriedenheitsumfrage für Betreuungspersonen–Teil2","Caregiver Satisfaction Survey –Part 2","Huoltajan tyytyväisyyskysely –Osa 2","Έρευνα Ικανοποίησης Φροντιστή –Μέρος 2","Questionário de satisfação do cuidador -Parte 2","استبيان رضا مقدم الرعاية - الجزء 2","Bakıcı Memnuniyeti Anketi –Bölüm 2","Encuesta de satisfacción del cuidador: parte1","Tevredenheidsenquête voor verzorgers –Deel 2","Enquête de satisfaction du soignant -Partie2","Gondozói elégedettségi felmérés –2. rész","Tevredenheidsenquête voor verzorgers -Deel 2"
"g8ad51a-q","We would like to ask you about your experience as a caregiver with certain elements of the FIONA study.","Chtěli bychom se Vás zeptat na Vaše zkušenosti pečovatele/rodičes určitými prvky studie FIONA. ","På baggrund af din erfaring som omsorgsperson/forældre/værge vil vi gerne spørge dig om visse dele af FIONA-undersøgelsen.","Мы хотели бы узнать о Ваших впечатлениях о некоторых элементах исследования FIONA как лица, осуществляющего уход. ","Nous aimerions en savoir plus sur votre expérience en tant qu’aidant avec certains éléments de l’étude FIONA.","Vi skulle vilja fråga dig om din upplevelse som vårdnadshavare av vissa delar i FIONA-studien. ","Nous aimerions connaitre votre expérience en tant que soignant avec certains éléments de l’étude FIONA. ","Nous aimerions vous interroger sur votre expérience en tant que soignant concernant certains éléments de l’étude FIONA.","ברצוננו לשאול אותך על החוויה שלך כמטפל עם אלמנטים מסוימים במחקר FIONA. ","Nos gustaría preguntarle acerca de su experiencia como cuidador respecto de determinados elementos del estudio FIONA. ","저희는 FIONA 임상시험의 특정 요소를 지닌 돌봄제공자로서의 귀하의 경험에 대해
질문드리고 싶습니다.","Norėtume jūsų, kaip globėjo, paklausti apie patirtį, susijusią su tam tikrais „FIONA“ tyrimo elementais. ","We would like to ask you about your experience as a caregiver with certain elements of the FIONA study.","Chcielibyśmy zapytać Pana/Panią jako opiekuna o doświadczenia z pewnymi elementami badania FIONA. ","Wir würden gerne mehr über die Erfahrungen wissen, die Sie als Betreuungsperson mit einigen Aspekte der FIONA-Studie gemacht haben. ","We would like to ask you about your experience as a caregiver with certain elements of the FIONA study. ","Vi skulle vilja fråga dig om din upplevelse som vårdnadshavare av vissa delar i FIONA-studien. ","Desideriamo chiederLe della sua esperienza come caregiver con alcuni elementi dello studio FIONA. ","Wir würden gerne mehr über die Erfahrungen wissen, die Sie als Betreuungsperson mit einigen Aspekte der FIONA-Studie gemacht haben. ","We would like to ask you about your experience as a caregiver with certain elements of the FIONA study. ","Haluaisimme kysyä sinulta kokemuksestasi Huoltajana tiettyihin FIONA-tutkimuksen asioihin liittyen.","Θα θέλαμε να σας ρωτήσουμε για την εμπειρία σας ως φροντιστή με ορισμένα στοιχεία της μελέτης FIONA. ","Gostaríamos de lhe perguntar sobre a sua experiência como cuidador com determinados elementos do estudo FIONA. ","نود أن نسألك عن تجربتك كمقدم رعاية مع بعض عناصر الدراسة FIONA. ","Bir bakıcı olarak FIONA çalışmasının belirli unsurlarına ilişkin deneyiminizi sormak istiyoruz. ","Nos gustaría preguntarle sobre su experiencia como cuidador con determinados elementos del ensayo FIONA. ","Graag willen wij u vragen naar uw ervaring als verzorger met bepaalde onderdelen van de FIONA-studie. ","Nous aimerions vous interroger sur votre expérience en tant que soignant avec certains éléments de l’étude FIONA. ","Szeretnénk megkérdezni Önt a FIONA vizsgálat egyes elemeivel kapcsolatos gondozói tapasztalatairól. ","Graag willen wij je vragen naar jouw ervaring als verzorger met bepaalde onderdelen van het FIONA-onderzoek. "
"v88549d-q","I think the app is easy to use.","Myslím, že aplikace se snadno používá.","Jeg synes, at appen er nem at bruge.","Я думаю, что приложение легко в использовании.","Je pense que l’application est facile à utiliser.","Jag tycker att appen är enkel att använda.","Je pense que l’application est facile à utiliser.","Je trouve que l’application est facile à utiliser.","אני חושב שהאפליקציה קלה לשימוש.","Creo que la aplicación es fácil de usar.","이앱은사용이간편한것같다.","Manau, kad šia programėle lengva naudotis.","I think the app is easy to use.","Uważam, że aplikacja jest łatwa w użyciu.","Die App ist einfach zu benutzen.","I think the app is easy to use.","Jag tycker att appen är enkel att använda.","Credo che l’app sia facile da utilizzare.2.","Die App ist einfach zu benutzen.","I think the app is easy to use.","Mielestäni sovellusta on helppo käyttää.","Νομίζω ότι η εφαρμογή είναι εύχρηστη.","Acho que a app é fácil de usar.","أعتقد أن التطبيق سهل الاستخدام.","Uygulamanın kullanımının kolay olduğunu düşünüyorum.","Creo que la aplicación es fácil de usar.","Ik vind de app eenvoudig in gebruik.","Je trouve que l’application est facile à utiliser.","Szerintem az alkalmazás könnyen használható.","Ik vind de app makkelijk in gebruik."
"v88549d-v88549d_f9b149e-c","<p>Strongly Agree</p>","Rozhodně souhlasím","Meget enig","Полностью согласен","Tout à fait d’accord","Instämmer helt","Tout à fait d’accord","Tout à fait d’accord","מסכים מאוד","Absolutamente de acuerdo","매우동의함","Visiškai sutinku","Strongly Agree","Zdecydowanie się zgadzam","Stimme vollkommen zu","Strongly Agree","Håller starkt med","Pienamente d’accordo","Stimme vollkommen zu","Strongly Agree","Täysin samaa mieltä","Συμφωνώ ιδιαιτέρως","Concordo totalmente","موافق بشدة","Kesinlikle katılıyorum","Totalmente de acuerdo","Volledig eens","Tout à fait d’accord","Kifejezetten egyetértek","Helemaal mee eens"
"v88549d-v88549d_zb28f44-c","<p>Agree</p>","Souhlasím","Enig","Согласен","D’accord","Instämmer","D’accord","D’accord","מסכים","De acuerdo","동의함","Sutinku","Agree","Zgadzam się","Stimme zu","Agree","Håller med","D’accordo","Stimme zu","Agree","Samaa mieltä","Συμφωνώ","Concordo","موافق","Katılıyorum","De acuerdo","Mee eens","D’accord","Egyetértek","Mee eens"
"v88549d-v88549d_o7c5dd6-c","<p>Neutral</p>","Neutrální, ani tak, ani tak","Neutral","Нейтральная позиция","Neutre","Neutral","Neutre","Ni d’accord, ni pas d’accord","ניטרלי","Neutral","중립적임","Nežinau","Neutral","Nie mam zdania","Neutral","Neutral","Neutral","Neutrale","Neutral","Neutral","Ei samaa eikä eri mieltä","Ουδέτερο","Neutro","حيادي","Kararsızım","Ni de acuerdo ni en desacuerdo","Neutraal","Neutre","Semleges","Neutraal"
"v88549d-v88549d_af48a2b-c","<p>Disagree</p>","Nesouhlasím","Uenig","Не согласен","En désaccord","Instämmer inte","En désaccord","Pas d’accord","לא מסכים","En desacuerdo","동의하지않음","Nesutinku","Disagree","Nie zgadzam się","Stimme nicht zu","Disagree","Håller inte med","In disaccordo","Stimme nicht zu","Disagree","Eri mieltä","Διαφωνώ","Discordo","غير موافق","Katılmıyorum","En desacuerdo","Mee oneens","Pas d’accord","Nem értek egyet","Niet mee eens"
"v88549d-v88549d_d89d70c-c","<p>Strongly Disagree</p>","Rozhodně nesouhlasím","Meget uenig","Совершенно не согласен","Pas du tout d’accord","Instämmer inte alls","Totalement en désaccord","Pas du tout d’accord","לא מסכים כלל","Absolutamente en desacuerdo","전혀동의하지않음","Visiškai nesutinku","Strongly Disagree","Zdecydowanie się nie zgadzam","Stimme überhaupt nicht zu","Strongly Disagree","Håller verkligen inte med","Fortemente in disaccordo","Stimme überhaupt nicht zu","Strongly Disagree","Täysin eri mieltä","Διαφωνώ πολύ","Discordo totalmente","غير موافق بشدة","Kesinlikle katılmıyorum","Totalmente en desacuerdo","Volledig oneens","Pas du tout d’accord","Kifejezetten nem értek egyet","Helemaal niet mee eens"
"eda0d2e-q","Did you have a home nurse visit for the FIONA study?","Měli jste návštěvu domácí zdravotní sestry ve studii FIONA?","Fik du nogen besøg af hjemmesygeplejersken i FIONA-undersøgelsen?","У Вас был визит патронажной медсестры в рамках исследования FIONA?","Avez-vous reçu la visite d’une infirmière à domicile pour l’étude FIONA?","Hade du en hemsjuksköterska på besök under FIONA-studien?","Avez-vous reçu la visite d’un infirmier(ère) à domicile pour l’étude FIONA?","Un membre du personnel infirmier à domicile vous a-t-il rendu visite pour l’étude FIONA?","האם ביקרה אצלך בבית אחות במחקר FIONA?","¿Tuvo una visita domiciliaria de enfermería para el estudio FIONA?","FIONA 임상시험을위해가정간호사가방문했나요?","Ar dėl „FIONA“ tyrimo jus buvo aplankęs (-iusi) namų slaugytojas (-a)?","Did you have a home nurse visit for the FIONA study?","Czy w ramach badania FIONA korzystał(a) Pan/Pani z domowej wizyty pielęgniarskiej?","Hatten Sie im Rahmen der FIONA-Studie zu Hause Besuch von einer Pflegekraft?","Did you have a home nurse visit for the FIONA study?","Hade du en hemsjukskötare på besök under FIONA-studien?","Ha ricevuto una visita infermieristica domiciliare per lo studio FIONA?","Hatten Sie im Rahmen der FIONA-Studie zu Hause Besuch von einer Pflegekraft?","Did you have a home nurse visit for the FIONA study?","Kävikö kotisairaanhoitaja luonasi FIONA-tutkimusta varten?","Είχατε μία κατ’ οίκον επίσκεψη από τη νοσηλεύτρια για τη μελέτη FIONA;","Teve uma consulta de enfermagem em casa para o estudoFIONA?","هل لديك زيارة منزلية من الممرضة في الدراسة FIONA؟","FIONA çalışmasında, evde hemşire ziyareti gerçekleştirildi mi?","¿Recibió la visita de un enfermero a domicilio para el ensayo FIONA?","Heeft een thuisverpleegkundige u bezocht voor de FIONA-studie?","Un membre du personnel infirmier à domicile vous a-t-il rendu visite pour l’étude FIONA?","Igénybe vette az otthoni ápolói vizetet a FIONA vizsgálat során?","Heeft een thuisverpleegkundige je bezocht voor het FIONA-onderzoek?"
"eda0d2e-eda0d2e_e5bf805-c","<p>Yes</p>","Ano","Ja","Да","Oui","Ja","Oui","Oui","כן","Sí","예","Taip","Yes","Tak","Ja","Yes","Ja","Sì","Ja","Yes","Kyllä","Ναι","Sim","نعم","Evet","Sí","Ja","Oui","Igen","Ja"
