"entity_id","en","cs_cz","ru_il","fr_ca","sv_se","fr_be","fr_ch","he_il","es_us","ko_kr","lt_lt","en_ca","pl_pl","de_at","en_gb","sv_fi","it_it","de_de","en_au","fi_fi","pt_pt","ar_il","tr_tr","es_es","nl_be","fr_fr","hu_hu","nl_nl"
"display_name","Medication Diary","Deník užívání léků","Дневник приема препарата","Journal des médicaments","Läkemedelsdagbok","Journal de prise du médicament","Journal du médicament","יומן התרופות","Diario del medicamento","약물일지","Vaistinių preparatų dienoraštis","Medication Diary","Dzienniczek przyjmowania leku","Medikationstagebuch","Medication Diary","Läkemedelsdagbok","Diario del farmaco","Medikationstagebuch","Medication Diary","Lääkepäiväkirja","Diário de medicação","المفكرة اليومية للدواء","İlaç Kullanımı Anketi","Diario dla medicación","Medicatiedagboek","Journal du médicament","Vizsgálati készítmény adagolási napló","Medicatiedagboek"
"mee0e4c-q","Use the following diary to record when study medication is taken each day.","Pomocí následujícího deníku zaznamenávejte, když se každý den užil hodnocený lék.","Используйте этот дневник для регистрации приема исследуемого препарата каждый день.","Utilisez le journal suivant pour noter chaque jour le moment de la prise du médicament de l’étude.","Använd följande dagbok för att anteckna när studieläkemedlet tas varje dag.","Utilisez le journal suivant pour consigner le moment auquel le médicament à l’étude est pris chaque jour.","Utilisez le journal suivant pour noter les moments où le médicament de l’étude est pris chaque jour.","השתמש ביומן הבא כדי לתעד באופן יומי את מועד הנטילה של תרופת המחקר.","Use el siguiente diario para registrar cuándo se toma el medicamento cada día.","다음일지를사용하여매일시험약복용시간을기록하십시오.","Šį dienyną naudokite norėdami įrašyti, kada vartojote tiriamąjį vaistinį preparatą kiekvieną dieną.","Use the following diary to record when the study medication is taken each day.","Proszę zapisywać w poniższym dzienniczku, kiedy została przyjęta codzienna dawka badanego leku.","Bitte verwenden Sie das folgende Tagebuch, um die tägliche Einnahme des Studienmedikaments festzuhalten.","Use the following diary to record when the study medication is taken each day.","Använd följande dagbok för att anteckna när studieläkemedlet tas varje dag.","Utilizzi il seguente diario per registrare ogni giorno il momento in cui viene assunto il farmaco dello studio.","Bitte verwenden Sie das folgende Tagebuch, um die tägliche Einnahme des Studienmedikaments festzuhalten.","Use the following diary to record when the study medication is taken each day.","Käytä seuraavaa päiväkirjaa kirjataksesi ylös, milloin tutkimuslääke otetaan joka päivä.","Use o diário seguinte para registar quando a medicação do estudo é tomada todos os dias.","استخدم المفكرة اليومية التالية لتسجيل وقت تناول دواء الدراسة كل يوم.","Her gün çalışma ilacının ne zaman alındığını kaydetmek için aşağıdaki günlüğü kullanın.","Use el siguiente diario para registrar cuándo se toma la medicación cada día.","Gebruik het volgende dagboek om bij te houden wanneer de studiemedicatie elke dag wordt ingenomen.","Utilisez le journal suivant pour noter les moments où le médicament de l’étude est pris chaque jour.","Használd az alábbi naplót annak rögzítésére, hogy mikor veszed be a vizsgálati készítményt az egyes napokon.","Gebruik het volgende dagboek om bij te houden wanneer de onderzoeksmedicatie elke dag wordt ingenomen."
"uf11a24-q","Was the study medication taken as a tablet or oral suspension?","Byl studijní lék užíván jako tableta nebo perorální suspenze?","Вы принимали исследуемый препарат в виде таблетки или суспензии?","Le médicament à l’étude a-t-il été pris sous forme de comprimé ou de suspension buvable?","Togs studieläkemedlet som en tablett eller oral suspension?","","Le médicament de l’étude a-t-il été pris sous forme de comprimé ou en suspension buvable?","האם תרופת המחקר נלקחה כטבלייה או כתרחיף פומי?","¿El medicamento del estudio se tomó en forma de comprimido o suspensión oral?","시험약을정제로복용하셨습니까? 아니면경구용현탁액으로복용하셨습니까?","Ar tiriamasis vaistinis preparatas vartojamas tabletės pavidalu ar kaip geriamoji suspensija?","Was the study medication taken as a tablet or as an oral suspension?","Czy badany lek został przyjęty w postaci tabletki, czy zawiesiny doustnej?","Wurde das Studienmedikament als Tablette oder Suspension eingenommen?","Was the study medication taken as a tablet or as an oral suspension?","Togs studieläkemedlet som en tablett eller oral suspension?","Il farmaco dello studio è stato somministratosotto forma di compressa o di sospensione orale?","Wurde das Studienmedikament als Tablette oder Suspension eingenommen?","Was the study medication taken as a tablet or as an oral suspension?","Otettiinko tutkimuslääke tablettina vai suun kautta otettavana suspensiona?","A medicação do estudo foi tomada como comprimido ou suspensão oral?","هل تم تناول الدواء في صورة أقراص أم معلق فموي؟","Çalışma ilacı, tablet olarak mı yoksa oral süspansiyon olarakmı alındı?","¿Se tomó la medicación del ensayo en forma de comprimido o suspensión oral?","Werd de studiemedicatie ingenomen als tablet of orale suspensie?","Le médicament de l’étude a-t-il été pris sous forme de comprimé ou en suspension buvable?","A vizsgálati készítményt tabletta vagy belsőleges szuszpenzió formájában vetted be?","Werd de onderzoeksmedicatie ingenomen als tablet of orale suspensie?"
"uf11a24-uf11a24_p26ce53-c","<p>Tablet</p>","Tableta","Таблетка","Comprimé","Tablett","Comprimé","Comprimé","טבלייה","Comprimido","정제","Tabletė","Tablet","Tabletka","Tablette","Tablet","Tablett","Compressa","Tablette","Tablet","Tabletti","Comprimido","أقراص","Tablet","Comprimido","Tablet","Comprimé","Tabletta","Tablet"
"uf11a24-uf11a24_p129816-c","<p>Oral Suspension</p>","Perorální suspenze","Суспензия для перорального приема","Suspension buvable","Oral suspension","Suspension orale","Suspension buvable","תרחיף פומי","Suspensión oral","경구용현탁액","Geriamoji suspensija","Oral Suspension","Zawiesina doustna","Orale Suspension","Oral Suspension","Oral suspension","Sospensione orale","Orale Suspension","Oral Suspension","Suun kautta otettava suspensio","Suspensão oral","معلق فموي","Oral süspansiyon","Suspensión oral","Orale suspensie","Suspension buvable","Belsőleges szuszpenzió","Orale suspensie"
"uf11a24-uf11a24_afbe8c5-c","<p>Not Taken</p>","Nebyl užit","Не принимал","Non pris","Inte tagit","Pas pris","Non pris","לא נלקחה","No se tomó","복용하지않음","Nesuvartota","Not taken","Nie został przyjęty","Nicht eingenommen","Not taken","Inte tagit","Non assunto","Nicht eingenommen","Not taken","Ei otettu","Não tomada","لم يؤخَذ","Alınmadı","No me lo tomé","Niet ingenomen","Non pris","Nem vettem be","Niet ingenomen"
"fcf0ab1-q","Time of Dose","Čas dávky","Время приема дозы","Heure de la dose","Tid för dos","Heure de la dose","Heure de la dose","שעת המנה","Hora de la dosis","복용시간","Dozės laikas","Time of Dose","Godzina przyjęcia dawki","Uhrzeit der Dosis","Time of Dose","Tid för dos","Orario della dose","Uhrzeit der Dosis","Time of Dose","Annoksen ottoaika","Hora da dose","وقت الجرعة","Doz Saati","Hora de la dosis","Tijd van dosis","Heure de la dose","Adag időpontja","Tijd van dosis"
"k3de172-q","Volume taken (in mL)?","Užitý objem (v ml)?","Принятый объем (в мл)?","Volume pris (en ml)?","Volym tagen (i ml)?","Volume pris (en ml)?","Volume pris (en ml)?","מהו הנפח שנטלת (במ""ל)?","Volumen tomado (en ml)","복용한용량(mL)은?","Suvartotas kiekis (ml)?","Volume taken (in ml)?","Jaką objętość przyjęto (w ml)?","Eingenommene Menge (in ml)","Volume taken (in ml)?","Volym tagen (i ml)?","Volume assunto (in ml)?","Eingenommene Menge (in ml)","Volume taken (in ml)?","Otettu määrä (ml)?","Volume tomado (em ml)?","ما الحجم المأخوذ (بالملليلتر)؟","Alınan doz miktarı (ml olarak)?","¿Volumen que se tomó(en ml)?","Ingenomen volume (in ml)?","Volume pris (en ml)?","Bevett térfogat (ml-ben)","Ingenomen volume (in ml)?"
"k3de172-k3de172_f4e72a0-c","mL","ml","мл","ml","ml","ml","ml","מ""ל","ml","mL","ml","ml","ml","ml","ml","ml","ml","ml","ml","ml","ml","مل","mL","ml","ml","ml","ml","ml"
"k3de172-k3de172_f4e72a0-t","decimal","","","","","","","","","","","","","","","","","","","","","","","","","","",""
